id,label
0,1
1,0
2,1
3,0
4,1
5,1
6,0
7,0
8,0
9,0
10,0
11,1
12,0
13,0
14,0
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,1
30,0
31,1
32,1
33,1
34,1
35,0
36,0
37,0
38,0
39,1
40,0
41,0
42,1
43,0
44,1
45,1
46,0
47,0
48,1
49,0
50,0
51,0
52,1
53,0
54,1
55,0
56,1
57,0
58,1
59,1
60,0
61,0
62,1
63,1
64,1
65,1
66,0
67,0
68,1
69,0
70,0
71,0
72,0
73,0
74,1
75,1
76,0
77,0
78,1
79,1
80,0
81,1
82,1
83,0
84,1
85,1
86,1
87,1
88,1
89,0
90,0
91,1
92,0
93,1
94,0
95,1
96,1
97,1
98,1
99,1
100,0
101,1
102,1
103,1
104,1
105,1
106,0
107,1
108,0
109,0
110,1
111,1
112,0
113,1
114,0
115,1
116,0
117,1
118,0
119,0
120,0
121,0
122,1
123,1
124,0
125,0
126,1
127,1
128,1
129,0
130,0
131,0
132,0
133,1
134,1
135,1
136,0
137,1
138,0
139,1
140,0
141,1
142,1
143,1
144,0
145,0
146,1
147,0
148,0
149,0
150,1
151,0
152,1
153,1
154,1
155,0
156,0
157,0
158,1
159,1
160,1
161,1
162,0
163,0
164,0
165,1
166,0
167,0
168,0
169,1
170,1
171,0
172,1
173,1
174,0
175,0
176,1
177,1
178,1
179,0
180,0
181,0
182,0
183,1
184,1
185,1
186,1
187,0
188,1
189,0
190,0
191,0
192,1
193,0
194,1
195,1
196,1
197,1
198,0
199,1
200,1
201,1
202,0
203,0
204,1
205,1
206,0
207,0
208,1
209,0
210,1
211,1
212,1
213,1
214,0
215,1
216,0
217,1
218,0
219,1
220,0
221,0
222,0
223,1
224,0
225,1
226,1
227,1
228,0
229,1
230,1
231,0
232,0
233,1
234,0
235,1
236,1
237,0
238,0
239,1
240,1
241,1
242,0
243,1
244,1
245,0
246,1
247,0
248,1
249,1
250,1
251,0
252,1
253,1
254,1
255,0
256,1
257,0
258,1
259,0
260,0
261,0
262,0
263,0
264,1
265,1
266,1
267,0
268,1
269,0
270,0
271,1
272,0
273,0
274,0
275,0
276,1
277,1
278,1
279,1
280,1
281,0
282,1
283,1
284,0
285,1
286,1
287,0
288,0
289,1
290,1
291,1
292,0
293,0
294,1
295,0
296,0
297,1
298,0
299,0
300,1
301,0
302,0
303,1
304,0
305,1
306,0
307,0
308,0
309,0
310,0
311,0
312,1
313,0
314,1
315,1
316,0
317,0
318,1
319,0
320,0
321,0
322,0
323,0
324,1
325,1
326,0
327,1
328,1
329,0
330,1
331,1
332,0
333,1
334,1
335,0
336,0
337,0
338,0
339,1
340,1
341,0
342,1
343,1
344,0
345,0
346,1
347,0
348,1
349,1
350,1
351,0
352,0
353,1
354,1
355,0
356,1
357,1
358,0
359,0
360,1
361,0
362,1
363,1
364,0
365,0
366,1
367,0
368,1
369,1
370,1
371,1
372,1
373,0
374,0
375,0
376,1
377,1
378,0
379,1
380,0
381,0
382,0
383,1
384,1
385,0
386,1
387,0
388,1
389,1
390,0
391,1
392,1
393,0
394,1
395,1
396,0
397,1
398,0
399,1
400,1
401,0
402,0
403,1
404,0
405,1
406,1
407,1
408,1
409,0
410,1
411,0
412,1
413,0
414,1
415,1
416,0
417,1
418,0
419,0
420,0
421,1
422,1
423,1
424,0
425,0
426,1
427,1
428,1
429,0
430,1
431,0
432,0
433,0
434,1
435,0
436,1
437,1
438,1
439,0
440,0
441,0
442,0
443,1
444,1
445,0
446,0
447,0
448,1
449,1
450,0
451,1
452,0
453,0
454,0
455,0
456,1
457,0
458,1
459,0
460,0
461,0
462,0
463,0
464,0
465,1
466,0
467,0
468,1
469,0
470,1
471,0
472,0
473,1
474,1
475,0
476,0
477,1
478,1
479,0
480,0
481,1
482,0
483,1
484,0
485,1
486,1
487,1
488,0
489,1
490,1
491,0
492,1
493,1
494,0
495,1
496,1
497,1
498,0
499,0
500,1
501,1
502,0
503,1
504,0
505,0
506,1
507,1
508,0
509,0
510,1
511,1
512,0
513,0
514,1
515,0
516,0
517,1
518,1
519,1
520,1
521,1
522,1
523,0
524,0
525,0
526,0
527,0
528,1
529,0
530,1
531,0
532,1
533,0
534,0
535,1
536,0
537,0
538,0
539,0
540,1
541,1
542,0
543,1
544,1
545,1
546,1
547,0
548,0
549,1
550,1
551,1
552,0
553,0
554,1
555,0
556,0
557,1
558,1
559,1
560,1
561,1
562,0
563,1
564,0
565,0
566,1
567,1
568,0
569,0
570,0
571,0
572,1
573,1
574,0
575,1
576,0
577,1
578,0
579,1
580,1
581,1
582,0
583,1
584,1
585,0
586,1
587,0
588,0
589,1
590,1
591,0
592,1
593,0
594,0
595,1
596,1
597,1
598,0
599,1
600,0
601,1
602,1
603,1
604,0
605,0
606,1
607,0
608,1
609,0
610,1
611,0
612,1
613,1
614,1
615,0
616,0
617,0
618,1
619,0
620,0
621,0
622,1
623,1
624,1
625,0
626,1
627,1
628,1
629,1
630,1
631,1
632,1
633,0
634,0
635,0
636,0
637,1
638,0
639,0
640,1
641,1
642,0
643,1
644,0
645,0
646,1
647,1
648,1
649,0
650,1
651,0
652,1
653,0
654,0
655,1
656,1
657,0
658,1
659,0
660,0
661,0
662,0
663,1
664,0
665,1
666,1
667,1
668,0
669,0
670,1
671,1
672,1
673,0
674,0
675,1
676,1
677,1
678,0
679,0
680,1
681,0
682,0
683,1
684,0
685,0
686,0
687,1
688,0
689,0
690,0
691,1
692,0
693,0
694,1
695,0
696,0
697,1
698,0
699,1
700,0
701,0
702,1
703,1
704,1
705,0
706,1
707,0
708,0
709,1
710,1
711,0
712,0
713,0
714,0
715,1
716,1
717,0
718,0
719,0
720,0
721,1
722,1
723,1
724,0
725,0
726,0
727,1
728,1
729,1
730,1
731,0
732,0
733,0
734,1
735,1
736,0
737,0
738,1
739,0
740,1
741,1
742,1
743,1
744,0
745,0
746,1
747,0
748,1
749,0
750,1
751,0
752,0
753,0
754,1
755,0
756,1
757,0
758,1
759,0
760,0
761,0
762,1
763,0
764,1
765,0
766,1
767,0
768,0
769,0
770,1
771,0
772,1
773,0
774,0
775,0
776,0
777,1
778,1
779,0
780,1
781,1
782,0
783,0
784,0
785,1
786,1
787,1
788,0
789,0
790,1
791,1
792,1
793,1
794,0
795,0
796,0
797,1
798,0
799,1
800,0
801,1
802,0
803,1
804,1
805,1
806,1
807,0
808,0
809,0
810,1
811,0
812,0
813,1
814,0
815,1
816,0
817,0
818,1
819,0
820,1
821,0
822,0
823,0
824,1
825,0
826,1
827,1
828,0
829,0
830,1
831,1
832,1
833,1
834,1
835,1
836,0
837,1
838,0
839,1
840,0
841,0
842,0
843,1
844,0
845,0
846,0
847,1
848,1
849,1
850,1
851,1
852,0
853,0
854,1
855,1
856,1
857,1
858,1
859,0
860,0
861,1
862,1
863,1
864,0
865,0
866,1
867,0
868,1
869,0
870,1
871,0
872,0
873,1
874,0
875,1
876,0
877,0
878,0
879,0
880,0
881,0
882,1
883,0
884,0
885,1
886,1
887,0
888,0
889,0
890,1
891,0
892,1
893,0
894,0
895,0
896,0
897,0
898,1
899,1
900,1
901,0
902,1
903,1
904,0
905,0
906,1
907,1
908,0
909,0
910,1
911,1
912,0
913,0
914,0
915,1
916,1
917,0
918,0
919,1
920,0
921,0
922,0
923,1
924,0
925,0
926,1
927,0
928,1
929,1
930,0
931,0
932,1
933,1
934,1
935,0
936,1
937,1
938,0
939,0
940,1
941,0
942,0
943,1
944,0
945,0
946,0
947,1
948,1
949,1
950,1
951,0
952,0
953,1
954,0
955,1
956,0
957,0
958,1
959,1
960,1
961,1
962,0
963,0
964,0
965,1
966,0
967,0
968,1
969,0
970,0
971,1
972,0
973,0
974,0
975,1
976,0
977,0
978,1
979,0
980,1
981,0
982,1
983,1
984,1
985,1
986,0
987,0
988,1
989,1
990,1
991,1
992,1
993,1
994,1
995,0
996,0
997,1
998,0
999,1
1000,0
1001,0
1002,1
1003,0
1004,0
1005,0
1006,1
1007,0
1008,1
1009,0
1010,0
1011,0
1012,0
1013,1
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,1
1022,1
1023,0
1024,0
1025,1
1026,0
1027,1
1028,0
1029,0
1030,1
1031,1
1032,1
1033,1
1034,0
1035,1
1036,1
1037,1
1038,0
1039,1
1040,1
1041,0
1042,0
1043,0
1044,1
1045,0
1046,0
1047,0
1048,0
1049,1
1050,1
1051,0
1052,1
1053,0
1054,1
1055,0
1056,0
1057,0
1058,1
1059,0
1060,0
1061,1
1062,1
1063,0
1064,1
1065,0
1066,0
1067,0
1068,1
1069,1
1070,1
1071,1
1072,0
1073,1
1074,1
1075,0
1076,0
1077,0
1078,1
1079,1
1080,0
1081,1
1082,1
1083,1
1084,1
1085,1
1086,0
1087,0
1088,0
1089,1
1090,1
1091,0
1092,1
1093,0
1094,0
1095,0
1096,1
1097,0
1098,0
1099,1
1100,0
1101,1
1102,1
1103,1
1104,0
1105,1
1106,1
1107,0
1108,1
1109,1
1110,1
1111,0
1112,1
1113,1
1114,1
1115,0
1116,0
1117,1
1118,1
1119,1
1120,0
1121,1
1122,1
1123,0
1124,0
1125,0
1126,0
1127,0
1128,1
1129,0
1130,1
1131,0
1132,1
1133,0
1134,1
1135,1
1136,1
1137,1
1138,0
1139,1
1140,1
1141,1
1142,0
1143,0
1144,1
1145,0
1146,0
1147,0
1148,0
1149,1
1150,0
1151,0
1152,0
1153,1
1154,1
1155,0
1156,1
1157,0
1158,0
1159,0
1160,0
1161,1
1162,1
1163,0
1164,0
1165,0
1166,0
1167,1
1168,0
1169,0
1170,1
1171,0
1172,1
1173,0
1174,0
1175,0
1176,0
1177,1
1178,0
1179,0
1180,1
1181,0
1182,0
1183,0
1184,0
1185,1
1186,0
1187,1
1188,1
1189,1
1190,1
1191,0
1192,0
1193,0
1194,0
1195,0
1196,1
1197,0
1198,0
1199,0
1200,1
1201,1
1202,1
1203,1
1204,0
1205,0
1206,1
1207,1
1208,0
1209,0
1210,0
1211,1
1212,0
1213,0
1214,1
1215,0
1216,0
1217,0
1218,1
1219,0
1220,0
1221,1
1222,1
1223,1
1224,1
1225,0
1226,0
1227,1
1228,0
1229,0
1230,0
